sample,N50,L50,largest_contig,Mbps,location,level,input_reads,survival_reads_after_trimming
cc4_1,4202,17451,180132,295295224,Suna Canottieri,coast,55572143,53580457
cc4_2,5257,26228,264224,597617741,Suna Canottieri,coast,97287908,93974778
cc4_3,5409,30846,346338,719558095,Suna Canottieri,coast,114089336,109947138
cd4_1,4275,10947,135825,196917667,Suna Canottieri,deep,70141005,68220426
cd4_2,4116,8893,124870,154159128,Suna Canottieri,deep,66597864,63697188
cd4_3,3769,12195,77058,175323298,Suna Canottieri,deep,73147423,70465019
mc4_1,3337,4800,98224,59201411,Teatro Maggiore,coast,50976715,49634986
mc4_2,3263,9015,93661,101599683,Teatro Maggiore,coast,53757711,51661969
mc4_3,3454,14310,149364,167612499,Teatro Maggiore,coast,69321269,66867191
md4_1,3843,18861,165323,285109290,Teatro Maggiore,deep,82613367,80420738
md4_2,2945,34678,93772,316819329,Teatro Maggiore,deep,123606540,120351340
md4_3,3858,30242,180945,439592317,Teatro Maggiore,deep,122465164,118330673
fc4_1,4188,20544,211858,338858613,Fondo Toce,coast,76622259,74226667
fc4_2,4388,22976,247817,404562691,Fondo Toce,coast,98825728,95499019
fc4_3,4519,26317,293222,489496171,Fondo Toce,coast,118167085,114041847
fd4_1,3244,7171,173171,80671554,Fondo Toce,deep,55583199,52953896
fd4_2,3372,21344,183322,234035161,Fondo Toce,deep,86956056,84389136
fd4_3,3343,11108,124765,127054867,Fondo Toce,deep,55124720,53453203
